,var1,var2,p_valeur,v_cramer
0,satisfaction,gender,0.0,0.21526356573414573
1,satisfaction,customer_type,0.0,0.31548759532872367
2,satisfaction,type_travel,0.0,0.1154287739735899
3,satisfaction,class,0.0,0.30956297124937887
4,gender,customer_type,3.75756992272449e-26,0.030449529522875402
5,gender,type_travel,0.00612412968519635,0.0073793548071579805
6,gender,class,4.255034959933374e-05,0.012311441019964784
7,customer_type,type_travel,0.0,0.28367889470336
8,customer_type,class,0.0,0.11614768853179049
9,type_travel,class,0.0,0.5639241059896716
