,var1,var2,p_valeur,v_cramer
0,satisfaction,gender,0.0,0.21526356573414573
1,satisfaction,customer_type,0.0,0.31548759532872367
2,satisfaction,type_travel,0.0,0.1154287739735899
3,satisfaction,class,0.0,0.30956297124937887
4,satisfaction,seat_comfort,0.0,0.430823907738532
5,satisfaction,d_a_time_convenient,1.5208444323251155e-51,0.04506755132527573
6,satisfaction,food_and_drink,0.0,0.23570357016645024
7,satisfaction,gate_location,0.0,0.15172773385037475
8,satisfaction,inflight_wifi_service,0.0,0.26186316306941987
9,satisfaction,inflight_entertainment,0.0,0.6494227746316328
10,satisfaction,online_support,0.0,0.45913353715278943
11,satisfaction,ease_online_booking,0.0,0.4990158952359972
12,satisfaction,on_board_service,0.0,0.3928198225892296
13,satisfaction,leg_room_service,0.0,0.3682584019829829
14,satisfaction,baggage_handling,0.0,0.33583929616053687
15,satisfaction,checkin_service,0.0,0.2909907495334682
16,satisfaction,cleanliness,0.0,0.3302475244518692
17,satisfaction,online_boarding,0.0,0.3755249821237303
18,gender,customer_type,3.75756992272449e-26,0.030449529522875402
19,gender,type_travel,0.00612412968519635,0.0073793548071579805
20,gender,class,4.255034959933374e-05,0.012311441019964784
21,gender,seat_comfort,0.0,0.11758317410094687
22,gender,d_a_time_convenient,1.499266711405578e-113,0.06661544276400709
23,gender,food_and_drink,8.950534404486338e-222,0.09284865003928483
24,gender,gate_location,1.9401902959051006e-44,0.041563882530721616
25,gender,inflight_wifi_service,3.937658878554691e-39,0.039001942176061816
26,gender,inflight_entertainment,0.0,0.16018680271570052
27,gender,online_support,5.98581760386513e-249,0.09813158109399923
28,gender,ease_online_booking,3.613446480113254e-238,0.09598957819278572
29,gender,on_board_service,2.2864246847355454e-138,0.07322938826064279
30,gender,leg_room_service,7.49628696583532e-254,0.09929360975667763
31,gender,baggage_handling,2.52613235152338e-43,0.04103936941988681
32,gender,checkin_service,4.9773853057507e-11,0.020469194061117215
33,gender,cleanliness,9.98989904818454e-36,0.03726402256836086
34,gender,online_boarding,1.7859767379107024e-99,0.06212638301443694
35,customer_type,type_travel,0.0,0.28367889470336
36,customer_type,class,0.0,0.11614768853179049
37,customer_type,seat_comfort,7.091301367845925e-234,0.0953315003614101
38,customer_type,d_a_time_convenient,0.0,0.1274309620000358
39,customer_type,food_and_drink,8.58314195041222e-294,0.10677373010418349
40,customer_type,gate_location,0.0,0.16494760822304588
41,customer_type,inflight_wifi_service,4.849121063984445e-240,0.09636499990915623
42,customer_type,inflight_entertainment,0.0,0.2495437953098197
43,customer_type,online_support,0.0,0.19566339989924728
44,customer_type,ease_online_booking,0.0,0.16473681004175722
45,customer_type,on_board_service,0.0,0.1137244866381468
46,customer_type,leg_room_service,0.0,0.12454743086837188
47,customer_type,baggage_handling,5.73756084169537e-180,0.08347787413119853
48,customer_type,checkin_service,6.279266057327458e-85,0.05741993914495515
49,customer_type,cleanliness,5.677437530070737e-133,0.07179256890972988
50,customer_type,online_boarding,0.0,0.1261469550214666
51,type_travel,class,0.0,0.5639241059896716
52,type_travel,seat_comfort,2.7939169170623567e-86,0.058145994641348696
53,type_travel,d_a_time_convenient,0.0,0.19843772193505696
54,type_travel,food_and_drink,4.380502933398159e-106,0.06440895755917636
55,type_travel,gate_location,2.3507978360833296e-158,0.07832197902504438
56,type_travel,inflight_wifi_service,4.8603559339370014e-24,0.03053293376952043
57,type_travel,inflight_entertainment,3.641457364381881e-100,0.06234091950078791
58,type_travel,online_support,1.034202525766767e-139,0.07358308110885825
59,type_travel,ease_online_booking,1.30748985456897e-56,0.046905349915028045
60,type_travel,on_board_service,2.9415093897579514e-87,0.05819945081762242
61,type_travel,leg_room_service,6.023805074012453e-31,0.03501196028461824
62,type_travel,baggage_handling,1.4511481330279094e-116,0.06723310263542037
63,type_travel,checkin_service,5.2982190502643425e-111,0.06561497259293778
64,type_travel,cleanliness,2.841305650225771e-145,0.07502814835485633
65,type_travel,online_boarding,1.0473026356703237e-31,0.03509820996434298
66,class,seat_comfort,1.8618857071812374e-172,0.058645995237431546
67,class,d_a_time_convenient,1.8063982860583607e-195,0.06234103588611589
68,class,food_and_drink,6.16771578892294e-164,0.057216313193338406
69,class,gate_location,0.0,0.08566120752268595
70,class,inflight_wifi_service,1.653474011539713e-197,0.062403023276860335
71,class,inflight_entertainment,0.0,0.17228250808951398
72,class,online_support,0.0,0.14108082998766333
73,class,ease_online_booking,0.0,0.10570961380585726
74,class,on_board_service,0.0,0.12817824972729366
75,class,leg_room_service,0.0,0.1064242435044523
76,class,baggage_handling,0.0,0.11026605353901014
77,class,checkin_service,0.0,0.11174468258189327
78,class,cleanliness,0.0,0.10492151657909479
79,class,online_boarding,0.0,0.09085928629289519
80,seat_comfort,d_a_time_convenient,0.0,0.6164789661107898
81,seat_comfort,food_and_drink,0.0,0.7287280478448358
82,seat_comfort,gate_location,0.0,0.429599087594607
83,seat_comfort,inflight_wifi_service,0.0,0.13931039527078007
84,seat_comfort,inflight_entertainment,0.0,0.43416919769796314
85,seat_comfort,online_support,0.0,0.13852719606718292
86,seat_comfort,ease_online_booking,0.0,0.22409080056752861
87,seat_comfort,on_board_service,0.0,0.11090988630399105
88,seat_comfort,leg_room_service,0.0,0.4598210520695546
89,seat_comfort,baggage_handling,0.0,0.13318916955413485
90,seat_comfort,checkin_service,2.9774953244670934e-177,0.04282125544082951
91,seat_comfort,cleanliness,0.0,0.12153854330602533
92,seat_comfort,online_boarding,0.0,0.13718445351244202
93,d_a_time_convenient,food_and_drink,0.0,0.7043699987970121
